Entity,Code,Year,Other,Flaring,Cement, Gas,Oil , Coal
North Korea,PRK,2020,0,0,2633125,0,3002940,23675039
North Macedonia,MKD,2020,0,0,359072,572621,2835452,3379364
Norway,NOR,2020,383637,1676184,721714,13306743,21111883,4082839
Oceania,,2020,4650684,21362034,3522943,89064401,154669765,171301372
Oman,OMN,2020,0,3059440,2095568,53163085,3844477,0
Pakistan,PAK,2020,0,0,15607945,71688418,88688382,58769995
Palau,PLW,2020,0,0,0,0,219358,0
Palestine,PSE,2020,0,0,0,0,2898754,0
Panama,PAN,2020,0,0,775367,659261,8659002,685892
Panama Canal Zone,,2020,0,0,0,0,0,0
Papua New Guinea,PNG,2020,0,0,0,1009318,5642803,0
Paraguay,PRY,2020,0,0,408135,0,7154272,7299
Peru,PER,2020,0,201520,4320439,13132972,25812425,1238699
Philippines,PHL,2020,0,0,9952082,7899579,49172455,68993835
Poland,POL,2020,4867296,4344176,7692452,36626494,85228164,160834185
Portugal,PRT,2020,906547,1133223,2225102,11864949,21924386,2333610
Puerto Rico,PRI,2020,0,0,0,0,0,0
Qatar,QAT,2020,0,1154160,2305124,90163522,13032160,0
Reunion,REU,2020,0,0,0,0,2482348,2105600
Romania,ROU,2020,1175876,591792,3828019,22561796,30374912,12942650
Russia,RUS,2020,16757274,46762006,20306193,747590858,388774194,356945515
Rwanda,RWA,2020,0,0,145422,40874,839983,6458
Ryukyu Islands,,2020,0,0,0,0,0,0
Saint Helena,SHN,2020,0,0,0,0,9494,0
Saint Kitts and Nevis,KNA,2020,0,0,0,0,212040,0
Saint Lucia,LCA,2020,0,0,0,0,439905,0
Saint Pierre and Miquelon,SPM,2020,0,0,0,0,50636,0
Saint Vincent and the Grenadines,VCT,2020,0,0,0,0,208876,0
Samoa,WSM,2020,0,0,0,0,245833,0
Sao Tome and Principe,STP,2020,0,0,0,0,112744,0
Saudi Arabia,SAU,2020,0,95264,25592905,257220261,342599451,0
Senegal,SEN,2020,0,0,2097112,23774,6400111,1930213
Serbia,SRB,2020,0,0,809608,4975958,8452012,28897818
Seychelles,SYC,2020,0,0,0,0,491067,0
Sierra Leone,SLE,2020,0,0,0,0,877190,0
Singapore,SGP,2020,0,0,0,21107206,22345247,2051451
Sint Maarten (Dutch part),SXM,2020,0,0,0,0,623462,0
Slovakia,SVK,2020,892703,19100,1404269,9815822,9962153,8636338
Slovenia,SVN,2020,105873,124600,477618,1714088,5646537,4494270
Solomon Islands,SLB,2020,0,0,0,0,298781,0
Somalia,SOM,2020,0,0,0,0,562143,0
South Africa,ZAF,2020,0,0,6009467,8375703,43526399,394045517
South America,,2020,6392000,50953656,43644144,229329818,556503154,107337556
South Korea,KOR,2020,10303060,0,22871408,114830613,166716560,282883413
South Sudan,SSD,2020,0,0,0,0,1179207,0
Spain,ESP,2020,2942428,3632959,9064168,64131411,118200733,10943267
Sri Lanka,LKA,2020,0,0,1084542,0,13343767,6677945
St. Kitts-Nevis-Anguilla,,2020,0,0,0,0,0,0
Sudan,SDN,2020,0,0,1555589,0,17303655,0
Suriname,SUR,2020,0,0,11830,9040,2203308,0
Sweden,SWE,2020,525455,536183,1349386,1840388,27016314,7367068
Switzerland,CHE,2020,169399,33353,1732205,6527849,23401217,434310
Syria,SYR,2020,0,1670784,558818,7408219,20891147,2960
Taiwan,TWN,2020,1025000,0,5378000,46424545,66328347,154018761
Tajikistan,TJK,2020,0,0,1878546,114473,2467943,4986693
Tanzania,TZA,2020,0,3664,1747206,1589999,6128647,1469116
